Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741.1,2791.1,2268.3,2063.2,2191,2405.7,1889.9,1501.5,1949.7,2000.7,2477.8,2433,2986.1,2848.5,2550.5,2880.9,3549.7,3367.9,2808.3,3241.4,3479.1,3007.8,3720.5,3690.2,3207.3,3358.7,2723.9,3095.6,3539.9,3018.7,3386.3,3414.2,
Belize,,596.4,598.8,694.8,697.3,742,550.9,1027.9,1176.3,1272.7,1628.7,1529.1,1414.9,1860.7,1313.2,1054.7,1450.4,1592.2,1851.9,1711.2,1988.6,2071.5,2030.5,1865.2,1526,1515.9,1753,1706.6,1686.6,1612.4,2013.8,2485.1,2289.7,2185.3,1898.1,1917.7,2504.9,2394.2,2458.5,2805.4,2418.3,3100,2448.9,2851.8,2365.7,2869.5,2672.3,2939.5,2427.2,2686.5,3223.4,3155.5,3451.1,3615.6,3594.6,2897.8,3164.6,4229.1,4043.7,2946.5,3526.3,4289.5,4476.2,3857.4,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,954.3,946.5,945.5,795.1,1051.6,1013.1,1095.6,1080.8,1082.1,1056.4,1103.1,1087.9,1091.5,1081.4,1140.6,1223.1,1038.3,1074.1,1131.6,1116.6,1300.5,1253.3,1043.5,1307.7,1336.4,1287.9,1332.9,1321,1354,1360.8,1358.1,1399.7,1537,1426.7,1561.2,1613.6,1388.2,1494.8,1366.5,1641.9,1784.9,1712.4,1963.3,1618.7,1927,2100.1,1763.3,2016.4,2346,2267.3,2045.3,2113.2,1717.9,1958.1,2280.2,2111.3,1845.6,2333.7,2030.1,2024,2523,1716.7,2040.9,
Brazil,,1346.3,1381.5,1322.4,1256.4,1428.3,1321.3,1402.2,1350.5,1302.8,1408.8,1290.8,1299.7,1411.7,1455.8,1358.8,1444.6,1452.5,1210.1,1301.3,1575.7,1611.1,1544.8,1614.6,1677.3,1827.8,1664.7,1882.1,1858.8,1999.7,1755.1,1850.7,2142.5,2354.6,2285,2513.1,2422.2,2521.8,2580.4,2732,2643.3,3147.6,2844.8,3385.4,3131.8,2882.6,3210.5,3553.1,3831.3,3532.1,4040.6,4037.5,4584.5,4826.4,4640.4,5000.6,4181.7,5209.6,4806.5,5321.3,5255.3,4479,4907.4,5336.3,
Barbados,,1884.2,2511.2,1883,1788.7,1866.7,2075,2325.6,2375.4,2402.7,2424.2,2333.3,2727.6,2631.6,2614.4,2614.4,2614.4,2614.4,2614.4,2614.4,2500,2500,2500,2500,2727.3,2500,2561,2561,2619,2619,2674.4,2625,2571.4,2666.7,2600,2750,2666.7,2600,2600,2600,2608.7,2604.2,2626.5,2630,2659.6,2736.8,2700,2666.7,2740.9,2827.1,2884.2,2987.6,3200,2833.3,2700,2695.6,2755.8,2815.6,2835.6,2839.1,2812.4,2797.2,2793.8,2790.4,
Brunei Darussalam,,1730.6,1852.7,1371.1,1323.5,1173.7,1392.2,1587.1,1586.8,1858.1,1962.1,1602.4,1617.5,2425.1,2904,2717.8,1964.7,1503.4,1591.7,2175.9,1379.7,1364.3,1482.5,1579.7,1557.1,1239.4,2135.9,1063,2168.5,2228.6,1550,812.5,785.7,800,800,800,777.8,777.8,777.8,789.5,1006.5,892.4,888.1,819.3,793.5,744.3,795.2,900.7,821.4,773.7,1000,1466.7,1375,1461.5,1615.4,2384.6,1714.3,1769.2,2000,2090.9,3000,2733.3,2400,2466.7,
Bhutan,,1440.8,1440,1438.8,1439.4,1437.5,1437.7,1435.1,1432.7,1435.2,1436.7,1437,1441,1439.7,1442.6,1447.9,1438.9,1444.4,1443.3,1434.2,1425,1457.7,1445.3,1429,1442.3,1386.1,1371.9,1181.9,1019.7,1015.2,1279.8,1027.5,1063.6,1164.2,1281.1,1365.8,1467.5,1541,1559.5,1506.7,1437.9,1449.4,1549,1791.3,2995.2,2334.9,2199.7,1999.2,2741.5,2160.4,2469.1,2801.7,2944.2,3226.4,3254.9,3475.8,3373.4,3411.5,3416.5,3082.1,3436,3343.2,3447.8,3463.8,
Botswana,,341.8,339.6,382.8,275.9,329.8,439.9,316.9,261.6,309.6,63.2,448,948.5,275.6,691,446.2,643.2,415.1,268.7,132.3,237.2,275.2,287.9,265.3,150.7,200.7,198.5,190.7,375.6,288.9,265.5,381.3,288.7,424.3,223.8,458.4,323.4,276.8,246.7,228.5,203.7,338.2,357.3,394.4,274.3,312.8,372.4,395.5,360.8,363.6,371.6,452.3,367.2,217.6,305.2,415.3,361.5,316.6,396.2,384.3,502.9,562.9,407.8,468.9,
Central African Republic,,443,540.9,543.9,661.6,790.2,806.6,728.5,814,783.3,712.4,717.9,696.2,682.8,502.6,533.5,526,522.5,595.4,497.2,521,569.6,559.3,674.6,772.1,1076.9,1189.3,958.4,1112.3,1078.6,809.9,893.4,1005.9,989.7,876.4,869.2,882.7,947.9,989.2,1006.8,993.3,1032.6,1048.3,1009.5,1007.7,1018.2,989.7,951.2,946.8,948.4,907.7,965.7,942,910.9,896,884.1,875.1,871.5,863.8,859.3,713,807.2,830,878.1,
Canada,,985,1595.4,1838.9,1527.2,1730.4,1972.7,1519,1734.5,1959.2,2110.8,2145.2,1987.7,1951.3,1726.7,2052.2,2275.8,2265.9,2267.4,2032.7,2141.2,2346.4,2482.8,2204.6,2028,2222.1,2570.4,2396.6,1754.4,2193.6,2636.3,2580.5,2460.3,2647,2594.5,2699.8,2844.2,2584.6,2782.6,3087.8,2805.7,2446.8,2375.4,2758.8,3141.9,3215.9,3046.3,2973.4,3391.7,3299.5,3501.1,3552.4,3456.3,4160.4,3647,3673,4239.1,4104.8,3914.7,4010.8,4091.9,3119.8,4078.7,3694.7,
Central Europe and the Baltics,,1702.259157,1648.968885,1730.87372,1763.01982,1997.141538,2132.041626,2167.64834,2161.954049,2286.376531,2126.70225,2567.784065,2791.212713,2820.457232,2877.235502,2810.449049,3107.499705,2962.244098,3144.387614,2917.081405,3076.524756,3021.386946,3449.919639,3201.139079,3578.036196,3302.537651,3478.624322,3356.658863,3446.120336,3625.493989,3454.587791,3614.394966,2518.985966,2772.994507,2944.857291,3225.796769,2970.865161,3421.997153,3192.283114,3288.749348,2662.670886,3383.265866,3259.862346,2862.676356,4128.801643,3740.745084,3285.714929,3009.364336,3911.425497,3660.70902,3764.982061,4037.07936,3491.562284,4149.561362,4656.460742,4255.412411,4617.852835,4868.755396,4708.747909,4843.27593,4754.235908,5106.540213,4524.103381,,
Switzerland,,2872.6,3776.9,2936.1,3627.4,3212.2,3305.7,3983.4,3852.2,3651.4,3692.5,4282.9,4079.6,4198.3,4766.9,4256.9,4530.2,4004.4,4815.8,5078.4,4623.7,4948.1,5279.9,5071,6162.9,5720.6,5090.7,5043.2,6328.9,6780.9,5983.9,6103.6,5877.4,6209,5807.6,6068.8,6706.8,6407,6641,5643.1,6402.2,6011.9,6269.8,5086.5,6732.5,6300.4,6165,6418.5,6413.1,6578.3,6093.9,6874.6,6464.3,5945.6,7044.6,6431.9,5154.6,6800.2,6332.3,6580.8,6978,5515.8,6081.1,5706,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,1441.3,1371.7,1574.7,1677.3,1691.9,1897.4,1951.6,1945.5,1671.6,1902.3,1994.4,1860.4,1683.3,1881,1722.9,1451,2130,1732.8,2191.5,2059.3,2120.5,2203.6,2261.5,2704.1,2949.1,3355.3,3222.6,3531.6,3914.7,3619.7,4050.9,4177.4,4246,4489.3,4472.5,4264.3,4507.5,5052,4061.1,4362.1,4935.7,5183.3,5390,5657.5,5811.2,5998.3,5744.3,5844.4,5462.3,6815.4,6927.8,6229.6,6913.2,6128.4,7082.3,6858.2,6779.4,7144.3,7157.2,6245.8,6491.2,6113.9,6382.3,
China,,1192.7,1323.1,1490.7,1622.7,1746.5,1879.1,1935.7,1939.4,1900.4,2127.7,2174,2106.5,2275.7,2389.2,2480.4,2522.3,2486.9,2791.8,3032.5,2937.3,3081.6,3456,3716.1,3954.9,3820.5,3889.9,3973.1,3930.6,4014.7,4306.5,4231.4,4361.6,4562.1,4504.9,4659.3,4891.6,4813.2,4952.8,4944.9,4752.6,4800.3,4869.1,4871.1,5186.8,5224.6,5313.4,5320.6,5549.7,5449.6,5527.5,5710,5828.7,5897.7,5896.3,5985.2,6018.6,6110.8,6122,6265.1,6296.1,6317.5,6381.3,6418.1,
Cote d'Ivoire,,624.2,785.7,751.9,774.9,785.5,840.7,888.9,877.8,845.1,828.6,1000.3,823.8,840.6,885.1,820.5,749.3,753.7,753.3,762.6,927.4,897.8,949,784.7,970.8,986.7,851.5,847.6,885.1,882.7,1112.5,1052.8,1050.8,1235.4,1131,1141.7,1389,1286.7,1498.6,1645.7,1682.3,1719.9,1750.9,1827,1853.9,1836.3,1827.9,1569.4,1735,1711.5,2270.5,1882.8,2079.8,2176.6,2206.9,2200.3,2219.8,2247.4,2254.4,2233.6,2248.7,2255.1,2326.7,2397.8,
Cameroon,,863.9,757.5,775.4,781.9,768.6,821,760,768.1,838.6,798.8,804.8,820.2,770.7,881.9,1057.6,865.9,862.7,836.7,817.7,864.3,865,890.3,895.7,1076.6,1154.1,1381.5,1228,1165.9,1118.4,1259.3,1179.3,1072.2,959.3,968.7,1172.1,1344,1400.3,1413.2,1893.3,1763.5,1708.9,1682.7,1619.9,1563.2,1669.7,1700.3,1676.3,1678.5,1722.9,1648.7,1710,1591.5,1676.4,1630.4,1615.3,1578.1,1711.2,1826.3,1510.2,1670.7,1726.6,1692.6,1779.2,
"Congo, Dem. Rep.",,699.2,700.8,692,692.1,646,695.1,699.8,710.5,710.8,727.1,725.4,746.5,741.1,744,747.7,745.8,739.2,728.9,799,798.7,822.5,833.9,833.5,850.2,799.6,789.9,821.8,797.9,802,799.8,802.4,782.2,790.6,793.4,765.8,780.9,801.7,811,787.3,786.6,786.6,772,771.5,771.7,771.7,771.6,771.6,771.6,771.6,784.9,771.1,771.6,772.1,769,768.9,785.5,794.1,812.4,836.2,878.6,889.4,829.2,838.5,
"Congo, Rep.",,714.3,711.3,916.7,932.6,1020.4,1000,1090.9,1347.8,952.4,888.9,952.4,894.3,679.4,706.2,647.7,648.2,658.7,457.6,689.7,845.4,978.1,646.7,746.2,677.9,767.8,854.6,770.3,801.9,834.9,624.3,635.2,639.2,646.5,654.4,735.6,746.3,746.3,755.8,736.4,753.9,775,772,780.7,776.4,770.6,777.8,764.1,771.4,791.4,785,794.3,809.8,830.9,832.8,833.5,845.6,860.4,870.8,890.8,871.5,894.4,877.1,877.7,
Colombia,,1275.2,1350.8,1386.1,1454.2,1259.1,1301.4,1421.7,1528.8,1607.8,1807.4,1904.5,2012.2,2105.9,2389.8,2379.2,2276.8,2249.6,2390.1,2463,2414.5,2479.7,2441,2514,2579.9,2662.6,2495.1,2724.1,2514.4,2486.9,2475.4,2450.7,2550,2505.5,2506.1,2643.9,2683.9,2906.7,3060.4,3151.7,3234.2,3138.3,3340.5,3621.8,3584.5,3643.3,3358.8,3599.2,3664.2,3611.3,3410.4,3351.5,3381.8,3277.8,3754.6,3893.5,3792.5,3856,4014.2,4167,4398.6,4278.9,4397.1,4333.1,
Comoros,,1107.8,1118.8,1083.7,1162.4,1094.9,1086.7,1099.3,1188.5,1097.6,1097.6,935,1008,1078.7,1129.8,1203,1157.1,1205.5,1161.3,1058.8,1058.1,1057.8,1058.1,1125,1110,1088.8,1117.8,1155.5,1157.3,1281.3,1267,778.3,795,807.4,822.3,839.3,849.2,854.7,840.3,890.1,899.5,914.8,935.5,973.6,921.7,1128.4,1248.9,1378.9,1596.4,1704.6,1953.8,1934.6,1918.3,1899.9,1877.5,1860.6,1843.6,1826.6,1800.2,1782.6,1781.7,1770.3,1755,1734.4,
Cabo Verde,,650,650,650,650,485.7,487.2,488.9,440,437.5,308,303.3,191.7,238,314.3,444.4,454.5,375,333.3,428.6,531.3,428.6,440,385.7,493.6,400.9,534.3,607.2,481.9,273.8,334.6,252.9,302.1,359.1,250.3,262.9,317.2,146.9,141.5,1162,794.8,637.3,148.5,379.2,385.2,243.2,218,158.8,233.8,230.8,220,177.8,196.2,182.3,34.3,276.5,178,0.1,22.7,23.2,15.7,16.3,11.5,23,
Costa Rica,,1153.5,1177.6,1242.2,1179.9,1530.5,1442.5,1476.7,1585.7,1573.4,1436.2,1837.8,1870.8,1388.8,1575,1895.6,1713.1,2058,2291.7,2293.6,2924.5,2276.3,1742.7,2401.5,2323.6,2323.6,2253.5,2256,2518.3,2621.8,3096.8,3299,3169,3419.3,3815.4,3777.6,3483.3,3790.7,3768.9,3676.8,3626.2,3549.6,3683.4,3171.4,3059.4,3189.1,3759,3538.2,3814.3,3790.7,3199.2,3418.9,3621.5,3283.3,4497.5,3831.6,4026.1,3731,4210.1,4052.4,3357.1,4311.2,4061.6,4448.2,
Caribbean small states,,2075.243855,2288.683164,2124.902814,2107.877818,2185.034173,2180.039808,2205.116293,1915.710706,2053.119441,2311.743787,2215.319993,2298.526367,2373.393981,2635.828288,2444.864163,2284.367412,2854.616325,2979.115324,3052.899543,3231.939358,3342.219261,3383.936835,3286.471141,3312.470237,3375.079244,3419.506065,3280.877998,3187.732517,3271.027757,3192.126198,3377.45294,3462.099854,3270.794147,3470.187588,3580.464433,3722.580435,3757.812922,3741.160761,3646.951567,3641.29581,3773.393172,3768.924796,3864.875967,3789.278177,3614.977195,4147.39686,4001.117269,3899.491526,4022.378351,4011.637661,4098.066725,4270.918488,4626.082513,4817.185237,4949.73115,4827.680892,5189.95563,5300.776662,5183.890662,5067.212756,5057.593025,5422.959945,,
